Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,81.199997,81.699997,77.949997,78.830002,67.108734,2167761
2015-01-05,78.800003,78.800003,75.550003,76.599998,65.210304,7362168
2015-01-06,76.349998,76.849998,75.589996,75.860001,64.580330,6474240
2015-01-07,76.489998,78.000000,76.400002,77.500000,65.976486,9690245
2015-01-08,78.150002,79.000000,77.680000,78.669998,66.972519,5583479
2015-01-09,78.750000,78.989998,77.709999,78.000000,66.402130,4376357
2015-01-12,78.000000,78.000000,75.250000,75.570000,64.333466,6652268
2015-01-13,75.620003,77.000000,74.919998,75.180000,64.001434,8478246
2015-01-14,74.989998,74.989998,73.050003,74.019997,63.013920,12334653
2015-01-15,74.019997,74.970001,72.050003,74.769997,63.652409,10798242
2015-01-16,74.500000,78.199997,74.500000,77.879997,66.299980,8482135
2015-01-19,77.879997,77.900002,77.050003,77.550003,66.019058,1832250
2015-01-20,77.529999,79.190002,77.050003,78.279999,66.640511,16082382
2015-01-21,78.849998,80.029999,78.059998,79.839996,67.968552,19037009
2015-01-22,79.500000,80.480003,78.699997,78.959999,67.219391,6903429
2015-01-23,78.699997,81.500000,78.699997,80.519997,68.547432,10176905
2015-01-26,80.300003,80.570000,79.599998,79.970001,68.079216,3637931
2015-01-27,79.879997,80.800003,78.820000,80.650002,68.867813,2547895
2015-01-28,80.809998,81.349998,79.500000,79.629997,67.996811,4557164
2015-01-29,79.989998,79.989998,78.480003,78.809998,67.296608,5581010
2015-01-30,78.529999,78.809998,75.809998,76.070000,64.956902,6387584
2015-02-03,77.120003,80.779999,77.120003,79.250000,67.672333,11041150
2015-02-04,78.510002,80.099998,78.500000,79.089996,67.535690,6484137
2015-02-05,79.089996,79.449997,78.029999,79.010002,67.467392,8372760
2015-02-06,78.949997,80.099998,78.510002,79.580002,67.954109,5275213
2015-02-09,78.949997,80.250000,78.610001,78.940002,67.407608,4032881
2015-02-10,78.989998,79.480003,77.779999,78.040001,66.639099,6238633
2015-02-11,77.720001,78.279999,76.010002,76.470001,65.298462,8380424
2015-02-12,76.629997,79.389999,76.629997,79.209999,67.638176,5930923
2015-02-13,79.209999,80.250000,79.160004,79.989998,68.304230,7584402
2015-02-16,79.910004,80.599998,79.839996,80.169998,68.457924,1368101
2015-02-17,80.239998,81.949997,79.209999,81.559998,69.644859,3645750
2015-02-18,81.750000,82.489998,78.150002,79.220001,67.646721,13295497
2015-02-19,79.620003,80.800003,79.550003,80.190002,68.475006,7440460
2015-02-20,80.000000,80.949997,79.949997,80.750000,68.953194,2926433
2015-02-23,81.290001,81.849998,78.919998,80.320000,68.586006,6148075
2015-02-24,80.559998,81.000000,80.010002,80.669998,68.884872,5735449
2015-02-25,80.500000,81.080002,80.400002,80.629997,68.850723,9131576
2015-02-26,80.500000,81.000000,80.110001,80.730003,68.936111,3672615
2015-02-27,80.209999,81.900002,80.209999,81.190002,69.328918,8233271
2015-03-02,81.000000,81.500000,79.800003,80.129997,68.423759,7218184
2015-03-03,79.949997,81.500000,79.519997,80.089996,68.389603,5360663
2015-03-04,79.849998,82.000000,79.519997,80.540001,68.773880,6327009
2015-03-05,80.540001,83.059998,80.360001,82.790001,70.695160,7541578
2015-03-06,82.989998,83.489998,81.709999,82.980003,70.857414,10536980
2015-03-09,82.980003,83.050003,82.309998,82.809998,70.712250,6134620
2015-03-10,82.410004,83.790001,82.110001,83.540001,71.335609,5313125
2015-03-11,83.699997,85.660004,83.529999,84.720001,72.343216,11428776
2015-03-12,84.809998,86.480003,84.800003,85.989998,73.427689,3454427
2015-03-13,85.989998,87.089996,85.570000,86.809998,74.127884,7739293
2015-03-17,86.309998,88.089996,86.209999,87.989998,75.135490,11309794
2015-03-18,88.000000,89.889999,87.500000,89.580002,76.493210,5608639
2015-03-19,89.580002,89.699997,89.000000,89.400002,76.339516,6105044
2015-03-20,89.000000,89.699997,86.750000,87.129997,74.401138,10745784
2015-03-23,87.199997,87.620003,86.220001,86.599998,73.948570,4529851
2015-03-24,87.000000,87.139999,86.220001,86.989998,74.281586,5374054
2015-03-25,86.470001,87.690002,85.339996,85.610001,73.103188,4650354
2015-03-26,85.309998,86.080002,85.000000,85.050003,72.625008,9069302
2015-03-27,85.050003,88.019997,84.010002,87.970001,75.118408,6992411
2015-03-30,87.800003,89.220001,87.620003,87.970001,75.118408,7461021
2015-03-31,87.800003,88.750000,87.750000,88.519997,75.588066,8292465
2015-04-01,88.800003,89.889999,88.279999,89.599998,76.510292,17676851
2015-04-06,89.699997,90.519997,89.290001,90.379997,77.176338,8611215
2015-04-07,89.610001,92.199997,89.610001,92.050003,78.602379,22641039
2015-04-08,91.500000,92.500000,90.459999,91.419998,78.064407,15837419
2015-04-09,91.550003,91.550003,89.980003,90.320000,77.125114,6799369
2015-04-10,89.919998,90.279999,87.449997,87.739998,74.922028,11998047
2015-04-13,87.739998,88.379997,86.800003,87.099998,74.375511,3426302
2015-04-14,87.449997,87.900002,86.879997,87.610001,74.811005,7675845
2015-04-15,87.610001,88.480003,87.010002,87.349998,74.589005,4213770
2015-04-16,87.000000,89.410004,86.830002,89.339996,76.288269,5999441
2015-04-17,89.279999,89.349998,88.500000,89.110001,76.091881,4589228
2015-04-20,89.110001,89.110001,87.510002,87.809998,74.981796,8360102
2015-04-21,87.879997,89.089996,87.809998,88.220001,75.331902,4889502
2015-04-22,88.849998,88.849998,87.269997,87.769997,74.947639,6350768
2015-04-23,87.510002,87.949997,86.150002,87.279999,74.529221,4435224
2015-04-24,87.690002,87.949997,86.400002,87.720001,74.904938,4493704
2015-04-27,87.989998,88.239998,86.510002,86.889999,74.402733,3110991
2015-04-28,86.889999,89.199997,86.879997,88.980003,76.192375,6467624
2015-04-29,88.980003,88.980003,86.610001,86.879997,74.394165,4488449
2015-04-30,87.400002,88.099998,85.750000,87.480003,74.907951,13015759
2015-05-04,87.650002,89.769997,87.650002,89.559998,76.689018,6953334
